ax,ay,az,gx,gy,gz
184,-172,18904,-244,258,32
48,-296,18896,-23,23,-14
564,100,16692,1187,1361,-598
-1096,1460,22296,-2881,2603,-981
-952,-2276,20160,-11572,2566,-34
104,-6968,18080,-5590,-1528,-172
-960,2068,16616,15760,669,2267
1788,5404,17388,-6302,-630,270
-884,248,18720,-16782,-283,8
588,-4824,20472,-7677,1478,-217
688,-6020,19264,6842,-2657,-1372
-848,552,15228,16595,-1537,-3
2136,4692,17528,7088,2249,172
1580,1520,17804,-15098,-2439,-136
268,-3988,20024,-13437,3041,463
-232,-6896,18740,6465,-1112,-390
860,-1832,18572,18781,1419,-538
-836,5776,18052,9649,1683,333
856,5108,17236,-3290,-1237,-658
-64,-1264,17744,-18796,-2934,279
-700,-5148,18152,-12542,4602,781
-92,-4168,17884,14083,-830,284
-848,3100,18332,11488,-788,2260
576,4924,16760,-10475,-1745,-1592
-848,-4364,17728,-15540,1431,-840
720,-6596,18196,-5881,-626,-139
-1664,-2188,18024,16009,1575,-259
-1184,4144,17160,10320,792,1293
-164,4880,15568,-9977,-2799,-962
-56,-3796,19572,-15967,-1203,1425
512,-4456,17836,-7818,1595,819
-1032,-1396,17092,16891,531,-236
-1516,1920,21256,15740,4576,897
1248,5728,17376,-4412,-2022,-503
420,4516,16952,-13435,-3758,-973
816,-5240,17704,-10904,3307,-255
464,-3140,16776,12863,1950,85
-404,3352,20168,9241,1640,741
456,4864,18356,-8332,-2336,-380
-140,812,18500,-16762,-5258,4
2668,-6616,17180,-5011,871,473
1652,-6884,16004,10624,-1739,-307
1020,2628,17892,14526,4907,1010
1172,5584,19380,3305,316,331
-848,2412,21752,-15936,-3490,-1043
1408,-6840,17044,-10730,1805,-278
1152,-5628,16100,13969,-492,-803
116,1804,16720,19097,5575,-894
1268,6520,18204,895,-1650,145
-1844,4752,19112,-12035,-1101,-1416
576,-4492,18740,-12213,1917,-879
-316,-4048,17928,14296,168,1279
-2756,5628,18320,14653,4383,4080
-1604,5952,17088,-10358,-327,-763
1316,-2320,16396,-14168,-1793,-294
1172,-4716,18056,-7981,1747,-568
-176,-4600,17948,12283,-578,-1408
-1228,2312,19292,17798,8083,-489
1432,6764,17676,-3434,-2580,167
316,-1196,17128,-18020,-5602,-355
1320,-7960,18164,-759,2142,491
656,-5868,15716,11089,-1328,807
-2604,4812,18436,14079,5844,2375
1904,5548,20596,2334,-3004,1158
-1104,1604,18788,-14270,-2748,-1809
-760,-3400,18320,-14227,2760,-817
68,-6796,17808,7057,-1042,358
-1316,3208,20568,15316,7471,-673
188,4344,18668,-3388,-502,-640
612,-2092,16560,-16421,-2836,3050
176,-3744,17644,-12301,3034,2288
132,-6348,17152,6737,-1411,-287
-456,2700,20508,18679,5586,-1535
-360,5288,18160,6171,-3372,-433
-344,2996,17172,-13558,-2017,205
-236,-3968,19344,-11434,4192,1169
-232,-3104,17396,11653,-731,-204
-1500,1020,16620,18851,3707,-334
-276,6556,20620,572,-379,30
-2064,6164,18516,-11727,-1555,-552
-1228,-4384,17984,-17063,3618,900
1732,-8928,17580,-2876,1086,423
-1348,-792,15112,20539,987,-1054
484,4760,19080,3760,-3607,388
-1500,3920,17616,-18346,-5581,-160
2544,-8284,17088,-11606,1092,401
1096,-9592,17020,3568,-1126,647
-508,2328,17504,21946,4146,443
-1392,3016,19488,8441,1226,-190
-2076,3440,20708,-11327,-94,279
-464,-4764,19640,-15474,1932,-273
-680,-6172,16340,11601,-1942,-264
-1044,-128,15620,19735,-112,-484
784,7420,24248,3178,762,-164
-1204,2212,18216,-17066,-4547,-409
-1096,-5152,20420,-17469,5285,-752
1516,-5028,18080,7715,-3050,251
-40,2476,19400,17699,5399,-1720
1124,5096,17620,-4386,697,310
248,-1184,16788,-17391,-1230,2797
560,-4600,19456,-10981,1685,1861
728,-3868,16072,12936,1024,-1566
-1308,960,17224,17976,4402,-866
88,5288,16044,-1458,-1498,-119
-2412,2284,19200,-11539,-1349,-1038
1976,-5640,15536,-13813,-1908,-684
-156,-5824,16692,11695,549,571
-2892,3736,20772,13869,3520,2080
-1252,5760,21852,-372,-1038,817
-1412,492,18168,-18067,-4302,-1476
-124,-5900,17608,-17176,3951,-1166
752,-6892,17000,9717,-975,855
252,-268,16512,20267,2026,-54
1032,4376,18764,2911,-1823,1000
-2004,676,17860,-17600,-2773,-1393
3144,-7472,16836,-6996,1009,69
-1376,-484,15612,19776,1253,348
-1312,2164,20628,16420,7101,429
-176,4456,20176,-6879,-100,-964
1012,-4404,14540,-16416,-3620,78
1956,-6800,17632,1611,214,846
-1584,904,16932,19033,6855,-596
-3340,4880,23336,8308,7670,518
-2256,1360,19096,-7726,-3285,-1849
-1296,580,18716,-6305,-6520,860
3880,-4820,17760,-1912,-1771,1118
1492,416,18112,-186,1585,439
1524,-748,17880,-907,685,212
944,-1284,18132,-1520,677,186
