ax,ay,az,gx,gy,gz
-1360,-332,18764,-154,375,-32
-1328,-344,18732,-141,306,-30
-1212,-272,18856,-72,-118,-21
-876,-244,18616,-129,263,-28
-900,-192,18676,-141,174,-25
-1388,-324,19564,-138,311,-31
-940,-284,18860,-147,482,-31
-676,-244,18592,-145,322,-28
-764,-248,18788,-146,328,-29
-768,-280,18688,-145,328,-32
-740,-184,18744,-150,327,-28
-748,-228,18700,-149,325,-30
-744,-312,18776,-147,324,-29
-712,-280,18696,-150,329,-29
-704,-240,18724,-145,326,-28
-756,-304,18704,-149,324,-28
-800,-308,18764,-143,323,-30
-700,-204,18764,-148,324,-32
-756,-320,18716,-146,326,-27
-752,-284,18900,-148,323,-28
-728,-204,18752,-145,326,-29
-736,-280,18760,-146,324,-29
-752,-200,18756,-148,334,-31
-688,-288,18760,-143,322,-32
-784,-272,18748,-143,323,-24
-760,-264,18736,-145,322,-30
-732,-256,18652,-144,323,-30
-732,-324,18836,-148,317,-32
-784,-288,18856,-142,327,-30
-948,-172,18932,-145,364,-32
-708,-252,18800,-145,326,-30
-812,-212,18872,-147,348,-24
-736,-288,18740,-147,325,-28
-740,-220,18632,-142,336,-27
-772,-240,18740,-149,330,-30
-760,-276,18772,-144,330,-32
-736,-264,18744,-147,327,-29
-716,-284,18772,-148,324,-34
-736,-232,18584,-146,317,-28
-756,-312,18772,-146,331,-25
-712,-216,18744,-146,327,-27
-784,-260,18708,-143,326,-28
-828,-244,18760,-145,333,-28
-780,-300,18832,-148,320,-35
-740,-236,18772,-148,328,-34
-740,-352,18696,-143,329,-34
-680,-288,18608,-144,334,-25
-832,-264,19100,-139,403,-32
-752,-208,18712,-144,330,-34
-780,-272,18696,-148,328,-31
-752,-192,18644,-146,327,-31
-748,-296,18704,-144,330,-33
-740,-236,18640,-148,321,-26
-744,-280,18788,-146,333,-35
-716,-320,18720,-147,319,-26
-688,-212,18780,-152,336,-25
-784,-268,18780,-149,323,-31
-756,-224,18724,-147,356,-31
-748,-244,18692,-152,371,-32
-808,-268,18828,-146,341,-32
-768,-244,18732,-147,302,-27
-824,-236,18728,-150,349,-32
-768,-268,18808,-149,321,-29
-712,-292,18668,-147,285,-25
-792,-276,18796,-144,319,-29
-736,-312,18800,-149,347,-32
-736,-300,18840,-147,327,-23
-744,-196,18788,-149,355,-33
-768,-240,18812,-148,314,-26
-828,-292,18712,-152,339,-27
-700,-224,18836,-142,321,-30
-776,-252,18748,-143,322,-35
-728,-220,18728,-143,302,-32
-716,-256,18740,-146,313,-29
-768,-244,18704,-148,337,-30
-760,-240,18712,-140,318,-30
-756,-304,18724,-153,342,-29
-780,-232,18652,-152,323,-27
-788,-316,18700,-145,314,-30
-720,-268,18776,-145,326,-29
-764,-200,18576,-143,297,-29
-764,-272,18780,-148,349,-29
-732,-228,18720,-146,315,-31
-748,-232,18704,-144,323,-27
-800,-328,18736,-146,369,-32
-832,-224,18784,-146,337,-26
-740,-232,18712,-146,325,-33
-868,-216,18764,-152,376,-29
-820,-244,18768,-145,278,-28
-828,-276,18744,-151,379,-31
-940,-252,18680,-150,362,-30
-800,-220,18648,-150,316,-29
-876,-264,18852,-154,358,-34
-844,-244,18752,-144,299,-29
-840,-220,18836,-145,334,-31
-912,-220,18604,-147,503,-31
-976,-248,18808,-146,326,-30
-848,-292,18748,-152,393,-34
-964,-312,18740,-142,294,-28
-820,-264,18628,-164,457,-34
-508,-276,17928,-167,434,-34
-1076,-260,18724,-146,193,-27
